指 标,Item,2018,,2019,
,,"人 数
(万人次)
Persons
(10 000 person-times)","比 重
(%)
Percentage
(%)","人 数
(万人次)
Persons
(10 000 person-times)","比 重
(%)
Percentage
(%)"
总 计,Total,4795.11,100.0,4911.36,100.0
按性别分,By Gender,,,,
  男,  Male,2859.71,59.6,2881.29,58.7
  女,  Female,1935.39,40.4,2030.07,41.3
按年龄分,By Age,,,,
  14岁及以下,  14 and under,161.18,3.4,184.92,3.8
  15至24岁,  15-24,656.71,13.7,686.20,14.0
  25至44岁,  25-44,2394.69,49.9,2439.71,49.7
  45至64岁,  45-64,1363.24,28.4,1365.75,27.8
  65岁以上,  65 and over,219.28,4.6,234.77,4.8
按事由分类,By Purpose,,,,
  会议/商务,  Meeting/Business,614.70,12.8,628.47,12.8
  观光休闲,  Sightseeing and Leisure,1608.57,33.5,1740.31,35.4
  探亲访友,  Visiting Relatives and Friends,132.24,2.8,143.17,2.9
  服务员工,  Worker and Crew,744.86,15.5,714.01,14.5
  其他,  Others,1694.74,35.3,1685.40,34.3
